image,actual_calories,estimated_calories,calorie_difference,llm_output
36_chicken_and_dumplings_hostedLargeUrl.jpg,430.0,780.0,350.0,"CALORIES: 780
"
35_super_cheezy_vegan_grilled_cheese_sandwich_hostedLargeUrl.jpg,370.0,600.0,230.0,"CALORIES: 600
"
35_perfect_carrot_cake_hostedLargeUrl.jpg,380.0,600.0,220.0,"CALORIES: 600
"
36_baklava_hostedLargeUrl.jpg,430.0,350.0,80.0,"CALORIES: 350
"
35_sweet_and_spicy_chicken_wings_hostedLargeUrl.jpg,410.0,600.0,190.0,"CALORIES: 600
"
36_croque_madame_pizza_hostedLargeUrl.jpg,460.0,480.0,20.0,"CALORIES: 480
"
36_classic_vanilla_frozen_yogurt_hostedLargeUrl.jpg,200.0,250.0,50.0,"CALORIES: 250
"
35_glazed_donuts_hostedLargeUrl.jpg,350.0,500.0,150.0,"CALORIES: 500
"
35_salmon_ceviche_hostedLargeUrl.jpg,220.0,480.0,260.0,"CALORIES: 480
"
36_falafel_hostedLargeUrl.jpg,280.0,400.0,120.0,"CALORIES: 400
"
36_chicken_curry_with_potatoes_hostedLargeUrl.jpg,470.0,450.0,20.0,"CALORIES: 450
"
35_goat_cheese_and_beet_spring_salad_hostedLargeUrl.jpg,180.0,350.0,170.0,"CALORIES: 350
"
36_basic_chocolate_cake_hostedLargeUrl.jpg,350.0,450.0,100.0,"CALORIES: 450
"
36_club_sandwich_hostedLargeUrl.jpg,380.0,850.0,470.0,"CALORIES: 850
"
35_sausage_and_egg_breakfast_burritos_hostedLargeUrl.jpg,450.0,400.0,50.0,"CALORIES: 400
"
36_basic_deviled_eggs_hostedLargeUrl.jpg,140.0,720.0,580.0,"CALORIES: 720
"
35_shrimp_and_vegetable_dumplings_hostedLargeUrl.jpg,300.0,400.0,100.0,"CALORIES: 400
"
35_lime_and_ginger_creme_brulee_hostedLargeUrl.jpg,290.0,250.0,40.0,"CALORIES: 250
"
36_beignets_hostedLargeUrl.jpg,300.0,400.0,100.0,"CALORIES: 400
"
36_chocolate_mousse_hostedLargeUrl.jpg,260.0,350.0,90.0,"CALORIES: 350
"
35_skillet_gnocchi_with_shrimp_and_asparagus_hostedLargeUrl.jpg,430.0,650.0,220.0,"CALORIES: 650
"
36_air_fryer_fish_and_chips_hostedLargeUrl.jpg,480.0,480.0,0.0,"CALORIES: 480
"
36_awesome_grilled_cheese_sandwiches_hostedLargeUrl.jpg,360.0,250.0,110.0,"CALORIES: 250
"
0_baked_falafel_patties_with_yogurt-tahini_sauce_hostedLargeUrl.jpg,300.0,750.0,450.0,"CALORIES: 750
"
36_crispy_baked_french_fries_hostedLargeUrl.jpg,330.0,450.0,120.0,"CALORIES: 450
"
36_carrot_cake_cheesecake_hostedLargeUrl.jpg,450.0,450.0,0.0,"CALORIES: 450
"
36_churros_hostedLargeUrl.jpg,310.0,450.0,140.0,"CALORIES: 450
"
35_spicy_edamame_hostedLargeUrl.jpg,150.0,200.0,50.0,"CALORIES: 200
"
35_organic_coffee_frozen_yogurt_hostedLargeUrl.jpg,210.0,350.0,140.0,"CALORIES: 350
"
36_basil_ricotta_macaroni_and_cheese_hostedLargeUrl.jpg,390.0,450.0,60.0,"CALORIES: 450
"
